,description,displaySymbol,symbol
86,COINBASE BNT/GBP,BNT/GBP,COINBASE:BNT-GBP
87,COINBASE CTSI/USD,CTSI/USD,COINBASE:CTSI-USD
88,COINBASE RLY/USDT,RLY/USDT,COINBASE:RLY-USDT
89,COINBASE ANKR/GBP,ANKR/GBP,COINBASE:ANKR-GBP
90,COINBASE ALGO/BTC,ALGO/BTC,COINBASE:ALGO-BTC
91,COINBASE REP/BTC,REP/BTC,COINBASE:REP-BTC
92,COINBASE ZRX/BTC,ZRX/BTC,COINBASE:ZRX-BTC
93,COINBASE MIR/BTC,MIR/BTC,COINBASE:MIR-BTC
94,COINBASE DOT/BTC,DOT/BTC,COINBASE:DOT-BTC
95,COINBASE USDT/GBP,USDT/GBP,COINBASE:USDT-GBP
96,COINBASE ZRX/EUR,ZRX/EUR,COINBASE:ZRX-EUR
97,COINBASE ADA/USDC,ADA/USDC,COINBASE:ADA-USDC
98,COINBASE REN/BTC,REN/BTC,COINBASE:REN-BTC
99,COINBASE FIL/USD,FIL/USD,COINBASE:FIL-USD
100,COINBASE CHZ/USD,CHZ/USD,COINBASE:CHZ-USD
101,COINBASE XTZ/BTC,XTZ/BTC,COINBASE:XTZ-BTC
102,COINBASE UNI/USD,UNI/USD,COINBASE:UNI-USD
103,COINBASE FET/USD,FET/USD,COINBASE:FET-USD
104,COINBASE MKR/USD,MKR/USD,COINBASE:MKR-USD
105,COINBASE SNX/USD,SNX/USD,COINBASE:SNX-USD
106,COINBASE DOT/USDT,DOT/USDT,COINBASE:DOT-USDT
107,COINBASE BCH/GBP,BCH/GBP,COINBASE:BCH-GBP
108,COINBASE ATOM/USD,ATOM/USD,COINBASE:ATOM-USD
109,COINBASE NU/BTC,NU/BTC,COINBASE:NU-BTC
110,COINBASE ETH/USD,ETH/USD,COINBASE:ETH-USD
111,COINBASE UNI/BTC,UNI/BTC,COINBASE:UNI-BTC
112,COINBASE DAI/USD,DAI/USD,COINBASE:DAI-USD
113,COINBASE MASK/USDT,MASK/USDT,COINBASE:MASK-USDT
114,COINBASE LINK/EUR,LINK/EUR,COINBASE:LINK-EUR
115,COINBASE MATIC/EUR,MATIC/EUR,COINBASE:MATIC-EUR
116,COINBASE AAVE/EUR,AAVE/EUR,COINBASE:AAVE-EUR
117,COINBASE NU/USD,NU/USD,COINBASE:NU-USD
118,COINBASE ADA/GBP,ADA/GBP,COINBASE:ADA-GBP
119,COINBASE RLY/EUR,RLY/EUR,COINBASE:RLY-EUR
120,COINBASE YFI/BTC,YFI/BTC,COINBASE:YFI-BTC
121,COINBASE CHZ/GBP,CHZ/GBP,COINBASE:CHZ-GBP
122,COINBASE SUSHI/BTC,SUSHI/BTC,COINBASE:SUSHI-BTC
123,COINBASE GRT/GBP,GRT/GBP,COINBASE:GRT-GBP
124,COINBASE MIR/GBP,MIR/GBP,COINBASE:MIR-GBP
125,COINBASE NMR/GBP,NMR/GBP,COINBASE:NMR-GBP
126,COINBASE CRV/GBP,CRV/GBP,COINBASE:CRV-GBP
127,COINBASE CRV/EUR,CRV/EUR,COINBASE:CRV-EUR
128,COINBASE 1INCH/USD,1INCH/USD,COINBASE:1INCH-USD
129,COINBASE ETC/EUR,ETC/EUR,COINBASE:ETC-EUR
130,COINBASE USDT/USDC,USDT/USDC,COINBASE:USDT-USDC
131,COINBASE NMR/EUR,NMR/EUR,COINBASE:NMR-EUR
132,COINBASE XLM/EUR,XLM/EUR,COINBASE:XLM-EUR
133,COINBASE ADA/USD,ADA/USD,COINBASE:ADA-USD
134,COINBASE BAT/USDC,BAT/USDC,COINBASE:BAT-USDC
135,COINBASE ADA/BTC,ADA/BTC,COINBASE:ADA-BTC
136,COINBASE ADA/ETH,ADA/ETH,COINBASE:ADA-ETH
137,COINBASE USDC/EUR,USDC/EUR,COINBASE:USDC-EUR
138,COINBASE ENJ/USD,ENJ/USD,COINBASE:ENJ-USD
139,COINBASE BAND/BTC,BAND/BTC,COINBASE:BAND-BTC
140,COINBASE COMP/BTC,COMP/BTC,COINBASE:COMP-BTC
141,COINBASE USDT/EUR,USDT/EUR,COINBASE:USDT-EUR
142,COINBASE NMR/BTC,NMR/BTC,COINBASE:NMR-BTC
143,COINBASE DASH/USD,DASH/USD,COINBASE:DASH-USD
144,COINBASE MANA/EUR,MANA/EUR,COINBASE:MANA-EUR
145,COINBASE POLY/USD,POLY/USD,COINBASE:POLY-USD
146,COINBASE ETC/USD,ETC/USD,COINBASE:ETC-USD
147,COINBASE LINK/ETH,LINK/ETH,COINBASE:LINK-ETH
148,COINBASE ALGO/EUR,ALGO/EUR,COINBASE:ALGO-EUR
149,COINBASE 1INCH/GBP,1INCH/GBP,COINBASE:1INCH-GBP
150,COINBASE ICP/USD,ICP/USD,COINBASE:ICP-USD
151,COINBASE XTZ/GBP,XTZ/GBP,COINBASE:XTZ-GBP
152,COINBASE AMP/USD,AMP/USD,COINBASE:AMP-USD
153,COINBASE WBTC/BTC,WBTC/BTC,COINBASE:WBTC-BTC
154,COINBASE CGLD/EUR,CGLD/EUR,COINBASE:CGLD-EUR
155,COINBASE BAL/USD,BAL/USD,COINBASE:BAL-USD
156,COINBASE NU/GBP,NU/GBP,COINBASE:NU-GBP
157,COINBASE FARM/USD,FARM/USD,COINBASE:FARM-USD
158,COINBASE SUSHI/USD,SUSHI/USD,COINBASE:SUSHI-USD
159,COINBASE ZRX/USD,ZRX/USD,COINBASE:ZRX-USD
160,COINBASE SNX/GBP,SNX/GBP,COINBASE:SNX-GBP
161,COINBASE RLY/GBP,RLY/GBP,COINBASE:RLY-GBP
162,COINBASE USDC/GBP,USDC/GBP,COINBASE:USDC-GBP
163,COINBASE MIR/USD,MIR/USD,COINBASE:MIR-USD
164,COINBASE FIL/EUR,FIL/EUR,COINBASE:FIL-EUR
165,COINBASE BAND/USD,BAND/USD,COINBASE:BAND-USD
166,COINBASE ETH/USDT,ETH/USDT,COINBASE:ETH-USDT
167,COINBASE MATIC/GBP,MATIC/GBP,COINBASE:MATIC-GBP
168,COINBASE SKL/GBP,SKL/GBP,COINBASE:SKL-GBP
169,COINBASE BOND/USD,BOND/USD,COINBASE:BOND-USD
170,COINBASE ANKR/BTC,ANKR/BTC,COINBASE:ANKR-BTC
171,COINBASE CTSI/BTC,CTSI/BTC,COINBASE:CTSI-BTC
172,COINBASE BTC/USD,BTC/USD,COINBASE:BTC-USD
173,COINBASE BTC/USDT,BTC/USDT,COINBASE:BTC-USDT
174,COINBASE SOL/EUR,SOL/EUR,COINBASE:SOL-EUR
175,COINBASE TRB/USD,TRB/USD,COINBASE:TRB-USD
176,COINBASE AAVE/BTC,AAVE/BTC,COINBASE:AAVE-BTC
177,COINBASE ADA/EUR,ADA/EUR,COINBASE:ADA-EUR
178,COINBASE MLN/USD,MLN/USD,COINBASE:MLN-USD
179,COINBASE DOT/GBP,DOT/GBP,COINBASE:DOT-GBP
180,COINBASE SOL/USD,SOL/USD,COINBASE:SOL-USD
181,COINBASE NKN/USD,NKN/USD,COINBASE:NKN-USD
182,COINBASE ETH/GBP,ETH/GBP,COINBASE:ETH-GBP
183,COINBASE DOGE/BTC,DOGE/BTC,COINBASE:DOGE-BTC
184,COINBASE RLY/USD,RLY/USD,COINBASE:RLY-USD
185,COINBASE XTZ/EUR,XTZ/EUR,COINBASE:XTZ-EUR
186,COINBASE BNT/EUR,BNT/EUR,COINBASE:BNT-EUR
187,COINBASE ETH/USDC,ETH/USDC,COINBASE:ETH-USDC
188,COINBASE KNC/USD,KNC/USD,COINBASE:KNC-USD
189,COINBASE ZEC/BTC,ZEC/BTC,COINBASE:ZEC-BTC
190,COINBASE QNT/USD,QNT/USD,COINBASE:QNT-USD
191,COINBASE OMG/USD,OMG/USD,COINBASE:OMG-USD
192,COINBASE GTC/USD,GTC/USD,COINBASE:GTC-USD
193,COINBASE DOGE/USDT,DOGE/USDT,COINBASE:DOGE-USDT
194,COINBASE EOS/EUR,EOS/EUR,COINBASE:EOS-EUR
195,COINBASE ICP/BTC,ICP/BTC,COINBASE:ICP-BTC
196,COINBASE OXT/USD,OXT/USD,COINBASE:OXT-USD
197,COINBASE PAX/USD,PAX/USD,COINBASE:PAX-USD
