,ticker,error_desc
0,SA,"HTTPSConnectionPool(host='api.nasdaq.com', port=443): Max retries exceeded with url: /api/quote/SA/option-chain?assetclass=stocks&fromdate=all&todate=undefined&excode=oprac&callput=callput&money=all&type=all (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1131)')))"
1,SABR,"HTTPSConnectionPool(host='api.nasdaq.com', port=443): Max retries exceeded with url: /api/quote/SABR/option-chain?assetclass=stocks&fromdate=all&todate=undefined&excode=oprac&callput=callput&money=all&type=all (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1131)')))"
2,SAR,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
